region_id	ref_lines	status	sample	annotation	region_sha
D043	1481-1481	dynamic	var c = new SWFObject("includes/signUpTankDesign18StandardColours.swf", "signUpT	template-edit:20180814	707e8e1b87fc
S044	1482-1857	static	c.addParam("allowScriptAccess", "sameDomain");	—	3d61954e771d
D045	1858-1858	dynamic	Since 2007-12-16<br/><div style="padding: 2px 0px 2px 0px;" class="text normal">	per-request:live-player-stats	f0421f9b5180
S046	1859-1860	static	</div>	—	9a148c5779ca
D047	1861-1862	dynamic	</div>	template-edit:20170429	da724d0cbb69
S048	1863-1867	static		—	eb2bce5d0c4d
D049	1868-1876	dynamic	<script async src="//pagead2.googlesyndication.com/pagead/js/adsbygoogle.js"></s	template-edit:20170429	ddb025789030
S050	1877-1902	static		—	1c113cb1269d
D051	1903-1903	dynamic	<div class="content text tiny gray" style="text-align: justify; height: 110px;">	per-request:top10-rankings	f1cc01c096a2
S052	1904-1991	static	<div class="tab1" style="width: 60px; text-align: center; position: absolute; bo	—	9a75d2c49a97
D053	1992-1992	dynamic	window.open('https://beta.tanktrouble.com/#'+encodeURIComponent('type=messages')	template-edit:20180619	3a6650cabc6f
S054	1993-1998	static		—	a5f76586af27
D055	1999-2000	dynamic	};	template-edit:20180619	dadff5d5816c
S056	2001-2114	static	</script> </div>	—	2eaa14b6c907
D057	2115-2115	dynamic	if (username === currentUsertrailName)	template-edit:20180619	112d01bb988a
S058	2116-2133	static	return;	—	1f6c34d90412
D059	2134-2134	dynamic	if (currentElement.innerHTML === currentUsertrailName)	template-edit:20180619	524c54cfad94
S060	2135-2157	static	{	—	c562878e36f5
D061	2158-2158	dynamic	currentUsertrailName = null;	template-edit:20180619	c1226ca0ad8d
S062	2159-2557	static	}	—	4b4ace1db70c
D063	2558-2564	dynamic	}	template-edit:20170228	f9ce5c07e6eb
S064	2565-2574	static	}	—	cca6c92631aa
